albumName,artist,genre,review,greatIfYouLike,linkToListen,albumCover
SAYA,Saya Gray,"Experimental Pop, Indie","I was absolutely blown away by this album the second I heard it. SAYA is music mastery. This album hit me because it sounds like someone thinking in real time, musically. Saya Gray doesn’t treat songs as finished objects so much as active systems—chord progressions get interrupted, grooves collapse and restart, guitars drift out of key, vocals are stacked or stripped away mid-phrase. You can hear the studio as an instrument here: edits are left audible, transitions feel deliberate but unresolved, and the production constantly shifts perspective, like you’re moving around the room with her.

This album also landed during a year where I’ve been unlearning a lot—about work, ambition, and what I actually want to do with my time. I’ve spent less time believing in systems that promise optimization and more time reconnecting with my earliest sense of self-- in art, hosting, music, storytelling, and shared experience. SAYA feels aligned with that shift. It doesn’t tell you what to think or how to feel; it gives you space to notice yourself in the process of deciding. In a moment where we’re rushing to automate meaning and optimize intimacy, this album quietly insists that there’s no substitute for presence. It reminded me that connection takes time, that insecurity often powers the systems we complain about, and that reclaiming agency doesn’t always come from louder resistance—but from curiosity and choosing to stay with complexity a little longer. More than anything else this year, SAYA felt alive, unfinished, and human in exactly the ways I needed. Thank you Saya Gray, and thank you everyone! ",Björk; FKA twigs; Tirzah; Kelela; PJ Harvey,https://open.spotify.com/album/4w5yIvQJ8vlxDnMyN8A8qE?si=d6thX7VASEaAj2uOj0oVNA,"https://media.pitchfork.com/photos/6707d450bd97d582172d6fe8/1:1/w_320,c_limit/Saya-Gray.jpeg"
One Battle After Another,Jonny Greenwood,"Experimental, Classical, Soundtrack","Jonny Greenwood is the reason I own a Telecaster and arguably my most listened-to artist of all time. I love almost everything he does, but this project felt different. He’s always experimenting, yet here it felt like a mastercraft, pulling together so many threads from across his past work into something focused and intentional. The album leans into repetition, limited harmony, and slow variation, drawing more from minimalist composition than traditional scoring. Strings, percussion, and electronics are used carefully to build pressure over time, never rushing toward resolution. I kept coming back to it when my brain needed structure more than comfort. Over time it stopped feeling like an album and started feeling like a framework I was living inside",Steve Reich; Philip Glass; Hildur Guðnadóttir; Jóhann Jóhannsson; Radiohead,https://open.spotify.com/album/3CHjGTx0GVPEVb52RxM1IO?si=U2qZcf02SDe0ptxN6ViG3g,https://www.nonesuch.com/sites/g/files/g2000014771/files/styles/album_detail__545___545_/public/2025-09/jonny-greenwood-one-battle-after-another-545.jpg?itok=o0f32bEL
Hallucinating Love,Maribou State,"Electronic, Downtempo","Maribou State are a UK duo who helped define the warmer, more human side of modern electronic music, bridging club culture with songwriting, live instrumentation, and emotional openness.  Hallucinating Love captures the emotional tone I wanted to convey this year. It chooses care over collapse and connection over spectacle. It feels shaped by a moment where people were tired, overwhelmed, and still trying to reach for joy, intimacy, and something steady to hold onto.After a six-year gap following Kingdoms in Colour—marked by health struggles, burnout, and personal upheaval—Chris Davids and Liam Ivory came back with music that feels open, patient, and emotionally present. Songs like “Blackoak,” “Otherside,” and “Bloom” blend live percussion, melodic synths, and organic instrumentation into something immersive without being overwhelming. ",Jamie xx; Caribou; Bonobo; Four Tet; Little Dragon,https://open.spotify.com/album/6NyoU5F25y1I7V9fqbKqy9?si=26yXAZPOSuWa4UlutW6BWg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThePPiVTNuKFFhAmugYludCJfXmGgA3XyqYQ&s
LUX,Rosalía,Avant-Pop,"The level of intention on this album is almost overwhelming. Rosalía and her collaborators move confidently between classical phrasing, experimental sound design, and pop songwriting, and every decision feels deliberate. Vocals are treated as instruments, sometimes pristine, sometimes fractured, always controlled. Even when I wasn’t emotionally inside the record, I couldn’t ignore the craft and discipline behind it. It felt less like an album to live in and more like an artistic statement to stand in front of and take seriously.",Björk; Arca; Frank Ocean; Sevdaliza; James Blake,https://open.spotify.com/album/3SUEJULSGgBDG1j4GQhfYY?si=3PzHfP-2RHSGpiXtvOuHcg,https://upload.wikimedia.org/wikipedia/en/thumb/a/a1/Rosal%C3%ADa_%E2%80%93_Lux_%28album_cover%29.png/250px-Rosal%C3%ADa_%E2%80%93_Lux_%28album_cover%29.png
The Smashing Machine,Nala Sinephro,"Ambient Jazz, Soundtrack","Listening to this felt like stepping into a calmer room. Harp, synths, and ensemble playing are used with restraint and patience. The musicianship is excellent but never flashy. I reached for this late at night or on long walks.",Alice Coltrane; Floating Points; Laraaji; Pharoah Sanders; Carlos Niño,https://open.spotify.com/album/3LPmqGCKhFHS5Fw8WyaKY8?si=CCGFn8_iRBWb6ZLro9AV_A,https://upload.wikimedia.org/wikipedia/commons/9/9c/Nala_Sinephro_-_The_Smashing_Machine_cover.png
Debí Tirar Más Fotos,Bad Bunny,Reggaeton,"This album is an act of resistance. Seeing it performed during his Puerto Rico residency only reinforced what was already there: a deliberate choice to center place, memory, and dignity while holding enormous power. The reggaeton frameworks remain, but they’re slowed and weighted with intention, like a refusal to rush or dilute the message. It felt rare and energizing to watch an artist at this scale use his reach to defend culture rather than extract from it.",Tego Calderón; Calle 13; Frank Ocean; Prince; Ivy Queen,https://open.spotify.com/album/5K79FLRUCSysQnVESLcTdb?si=PDX_HSY-QNu2Sq3138ICrQ,https://upload.wikimedia.org/wikipedia/en/e/ef/Bad_Bunny_-_Deb%C3%AD_Tirar_M%C3%A1s_Fotos.png
You Are the Morning,jasmine.4.t,"Indie, Pop","This album is built around care and closeness. jasmine.4.t recorded it with a small, trusted circle, keeping arrangements sparse so the focus stays on voice, lyrics, and emotional pacing. It feels intimate without being fragile, like songs meant to be shared quietly rather than performed outward.",Adrianne Lenker; Nick Drake; Florist; Julie Byrne; Laura Marling,https://open.spotify.com/album/4amlS1zcZeSWkphaXn3lEq?si=sA2YMVSYQMaojJYTxVEdNQ,https://f4.bcbits.com/img/a0233515030_10.jpg
Humanhood,The Weather Station,"Indie Folk, Art Rock","Humanhood feels like the sound of someone trying to make sense of a world that keeps shifting underfoot. Tamara Lindeman and her band recorded in Toronto with a mix of acoustic instruments, woodwinds, electronics, and improvisational interplay that gives the album both warmth and tension. The songs move between folk-leaning lyricism and subtle experimental textures, with moments like “Irreversible Damage” weaving voice, saxophone, and synth into something almost conversational in feel.",Joni Mitchell; Talk Talk; Big Thief; Julia Holter; R.E.M.,https://open.spotify.com/album/5oiIdyuDWZ9einLEUdAccO?si=Jd_z7OczQOymzSg8GslBtw,https://upload.wikimedia.org/wikipedia/en/1/1e/Humanhood_%E2%80%93_The_Weather_Station.png
forever,bassvictim,"Electronic, Hyperpop","On Forever, Bassvictim lean into a shift from chaotic “basspunk” toward something more cohesive and adventurous, blending glitched electronics with melodic ideas and unexpected instrumentation. Tracks like “Ike Piano” reveal a softer side built from delay-soaked piano and layered vocals that feel oddly comforting amid the glitch and bitcrush. The duo’s energy is part hedonistic art-scene edge and part genuine musical play! ",Two Shell; SOPHIE; A. G. Cook; Namasenda; Underworld,https://open.spotify.com/album/7c2Tim7H0rp30NoE8dVbu5?si=ZNd7GLdFRfakS5FKVqW2hw,https://media.pitchfork.com/photos/68ed24b9a5b145b9d7778916/1:1/w_450%2Cc_limit/Bassvictim:%2520Forever.jpg
"Patience, Moonbeam",Great Grandpa,Indie Rock,Restraint does a lot of the work here. The band avoids over-arranging and lets dynamics carry the emotion. Production keeps everything close and grounded. It grew on me over time.,Big Thief; Hop Along; Wilco; Pinegrove; Built to Spill,https://open.spotify.com/album/0cEVL87PbprdLn7E8Fs8ct?si=yWpjToxuTqCZkqHXvjweEQ,https://upload.wikimedia.org/wikipedia/en/thumb/0/0a/Great_Grandpa_%E2%80%93_Patience%2C_Moonbeam.jpg/250px-Great_Grandpa_%E2%80%93_Patience%2C_Moonbeam.jpg
Wishful Thinking,duval timothy,"Ambient, Neo-Classical","This record rewards stillness. Duval Timothy uses piano fragments, negative space, and soft ambient textures in a way that feels intentional rather than minimal for its own sake. There’s a patience to the pacing that lets emotion surface slowly, without being directed. I returned to it when I needed room to think or feel without being told what to feel, and that quiet trust is what made it stick.",Brian Eno; Nils Frahm; Hania Rani; Harold Budd; Laraaji,https://open.spotify.com/album/7AzqzYUtZhGnQA2gnM6wXz?si=jlXh6_5LSq-wGaZYZWDmMw,https://f4.bcbits.com/img/a1772736984_10.jpg
